account,type,name,ecosystem,env,region,organization,configured_version,stack_name,stack_status,update_behavior,version
vnon,datanow,samissions,lyra,prd,us-east-1,samissions,,vn-spa-instance-datanow-samissions,up,,v0.4.1
vnon,datanow,fedexfieldsuites,levy,prd,us-east-1,wash,,vn-spa-instance-datanow-fedexfieldsuites,up,,v0.4.1
vnon,ondevices,marlinsparksuites,levy,prd,us-east-1,mrln,,vn-spa-instance-ondevices-marlinsparksuites,up,,v0.3.5
vnon,datanow,austinfctasting,crux,prd,us-east-1,austinfc,,vn-spa-instance-datanow-austinfctasting,up,,v0.4.1
vnon,onboard,bankerslifesuites,levy,prd,us-east-1,indy,,vn-spa-instance-onboard-bankerslifesuites,up,,v1.0.2
vnon,onrunner,labahnarena,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-onrunner-labahnarena,up,,v0.1.1
vnon,onstatus,mercedesbenzstadium,lyra,prd,us-east-1,mercedesbenzstadium,,vn-spa-instance-onstatus-mercedesbenzstadium,up,,v1.3.1
vnon,onpos,mcclimonfs,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-onpos-mcclimonfs,up,,
vnon,ordering,mjs2,crux,prd,us-east-1,monsterjam,,vn-spa-instance-ordering-mjs2,up,,v1.39.6
vnon,onstatus,razorbbsuites,levy,prd,us-east-1,razbb,,vn-spa-instance-onstatus-razorbbsuites,up,,v1.3.1
vnon,ondevices,niners,levis,prd,us-east-1,niners,,vn-spa-instance-ondevices-niners,up,,v1.8.4
vnon,onboard,mtc,crux,prd,us-east-1,samuelfriedman,,vn-spa-instance-onboard-mtc,up,,v1.0.2
vnon,onpos,staplescenterfs,ara,prd,us-east-1,staplescenter,,vn-spa-instance-onpos-staplescenterfs,up,,
vnon,onboard,marlins,crux,prd,us-east-1,marlins,,vn-spa-instance-onboard-marlins,up,,v1.0.2
vnon,onboard,commanders,crux,prd,us-east-1,commanders,,vn-spa-instance-onboard-commanders,up,,v1.0.2
vnon,onpos,usopenmobile,crux,prd,us-east-1,usopenmobile,,vn-spa-instance-onpos-usopenmobile,up,,v2.18.8-qs
vnon,onsuitesmanager,slsc,lyra,prd,us-east-1,sugarlandskeeters,,vn-spa-instance-onsuitesmanager-slsc,up,,v1.7.3
vnon,oncanopy,bswasuites,levy,prd,us-east-1,bswa,,vn-spa-instance-oncanopy-bswasuites,up,,v0.1.0
