primaryID,balance
2592055,5540
524611,2500
22725035,201
22823384,346
23061107,2274
100672,30000
24155021,2000
22468814,97
3424171,11932
3760616,15011
23337551,4000
5339482,3614
3480687,4031
21604057,22
23867791,593
8273611,5000
3764973,1633
26116266,10000
116754,10380
13888863,5000
2461152,1958
23964695,1563
9406869,37508
118602,60000
2250717,18033
5647307,52499
24619200,5964
23816047,354
5365830,1040
28770340,2131
22834630,33982
24871008,10000
2526517,20000
23300214,388
19210826,5000
22670197,3900
688986,20000
14871191,82
1605761,28000
22162267,3560
18475908,83
1231009,20000
2348492,638
3600407,158
23075173,1260
21040272,1161
18258817,5000
25020510,40000
26796661,83
125147,697
22806747,60
120296,78295
150482,9344
17101665,3554
2395020,24
22572329,40887
22490547,7500
17066459,30000
5428185,13795
24091906,2910
21668873,2479
12832252,581
23586874,1419
23678799,3800
24564094,162
10255338,90000
1291345,619
22664556,3900
534846,111
2012423,20000
16679573,3900
2048256,68101
178233,2975
23874257,66
23530801,5000
26790269,248
2596031,144
22266502,26
2750665,10000
8277590,2500
24275100,486
1986422,21000
18728599,5000
14543166,10000
16411639,50000
163543,12867
188333,5103
16493185,2500
2306381,40000
11950766,2500
23444179,1038
4383827,976
21964009,5286
17125579,435
23579199,10000
24372031,20854
4037325,60000
22219370,207
23624473,4596
14999528,63
104181,552
127017,5000
523902,17199
18663987,4
126060,64915
25680173,2959
22463653,10000
6085721,3949
22979917,5100
22240952,50000
2665268,13275
22250931,4000
23891864,12251
25730106,10000
8715692,3204
19202514,2500
13544877,3048
22810848,1000
105545,17
15003277,5000
4526249,2360
23358938,2500
25715514,2500
22062072,361
118448,20000
7261663,61
219744,597
21612965,5000
20687137,33929
7697106,1585
159335,3094
23793695,518
4249955,620
2460964,50000
6306352,56
11010508,2500
734707,50000
12555050,5000
23917877,7800
7068697,1000
5978311,2910
21883775,5000
5721232,861
2591404,574
22208341,2000
24016736,3486
2394502,20000
18528169,5000
123332,77233
10980188,7800
17066239,50000
22797833,1240
22460731,5000
1118521,4394
24386319,642
19745814,9750
11992323,1288
23624619,71
23958367,449
22769960,1388
17842232,25000
23546981,6582
11731481,1272
19259471,3935
4922492,23396
7690609,5931
21789353,1000
22993160,20000
13911917,17
6070468,464
23907951,380
19763852,3900
23033790,1370
18257091,10000
26474273,985
19410526,2138
18476059,2179
10085240,88
138933,38662
16443185,20000
2398309,3
21177111,1440
21609995,997
166819,11000
7014329,540
23621665,8000
26271556,5000
22469816,204
28214488,249
21840490,5650
26373709,2942
127556,33666
26967180,288
4798220,3739
21615807,437
22458736,1318
23215806,30550
21090838,5000
17362805,23
110176,42500
22532649,2169
22230787,4709
9259730,679
22498966,1991
5775700,20000
22097751,5000
21400327,5850
23390902,2487
23992824,2801
9385641,10000
7775427,213
126621,5319
103620,20000
22941948,5000
11615478,3900
109659,1000
2386086,40000
4083932,3900
3109312,42178
23276045,2699
4883439,11498
14695156,6258
17306050,4000
117744,40000
117469,32360
24571844,20000
26296973,898
23743986,13
20731034,2500
23065398,414
22616831,7500
22074387,17701
17072667,40000
14134596,2500
18496467,1566
18812142,80000
6874012,434
13907006,77
22933620,4000
816843,20000
24028150,60
13241480,40000
11606439,1000
20321150,14
16590116,5504
22944961,11700
6830909,10000
12384957,611
4766240,20000
21493967,9195
13507603,7500
21890021,527
24212560,73
3701218,6732
161091,40000
21822766,2312
22534121,288
119141,25000
18965488,2363
23386221,3933
24912447,40000
2040628,5000
23702049,844
11480558,7764
23541449,1489
13848740,125
106392,40000
7374639,9675
20635875,516
21907136,4000
23118627,370
16558553,2000
23334806,777
23450168,1372
525188,1120
1929364,40000
2039180,4276
145938,35453
4895334,17869
103884,17600
23261086,6000
22401334,140
130898,1726
8755570,1000
3007562,20000
26259195,922
28321610,953
24912342,40000
23820299,3063
5677697,46124
524512,2500
2808352,4634
112200,2545
102828,10000
12211981,3373
16388269,23742
11984898,2891
1172903,5467
17870477,10000
20552238,3780
18828830,647
22840082,3900
25887353,5000
1856543,3700
24125506,20
27985042,2334
24019979,2042
23674187,276
755062,10440
331666,956
21590269,80763
19109424,5000
21998137,2000
24090274,7800
21946277,18045
12757827,5000
10439151,2322
120879,20000
20824842,2000
25697427,48893
5124068,2500
9065081,10000
101607,72500
26212529,5000
119163,5530
6081570,5000
21513617,1563
13729131,779
22707756,7500
2031194,20000
8811017,224
2453902,15000
17475754,840
25701520,1518
27979312,1988
28710935,2500
574210,10166
22977659,5000
6310596,126
105721,20000
1377100,10000
23187637,354
10730911,1367
24266875,2993
19524476,5850
13044497,1266
3583336,60000
7432739,1000
27598569,6600
3596125,20000
102696,90000
2463711,40000
4898902,40000
630137,26
22123576,3252
24061516,2500
11139131,40000
8226001,158
5876725,1897
3499519,631
1242735,20000
244311,20000
24215509,1234
8102574,455
23871475,1138
4855692,27447
25170373,10000
573576,512
20514950,37
21432913,629
10079129,3931
25653109,2500
23088355,680
13501798,1384
17931010,100
110363,70000
11976637,2158
21999413,3000
23908296,3900
13760470,40000
14117269,2500
8463974,1294
22243233,2500
21906116,4000
4606384,20000
3317623,1419
3915955,8726
14042859,326
22813545,1000
22049634,3994
23086982,10000
137844,4931
13897431,1000
21549929,1000
11819805,20000
8179847,5850
7281984,482
26728730,676
24902644,80000
26257477,10000
23964216,3560
21535095,156
2565213,8591
23870618,522
22519792,2230
1062000,20000
24917110,5000
790713,7800
23944508,10000
7466227,5131
520700,30000
5083577,11061
26050599,10000
2529008,21000
125488,1301
2460493,19747
18970354,1879
24087412,1015
8048333,13359
26235157,2500
116435,18345
22814392,141
27848779,2243
21967794,10000
23910926,15600
1509317,27336
125521,95000
24842966,30000
1061986,10000
2530824,40000
12000690,1150
5870730,1982
23974451,519
3017717,1995
14909902,3117
20211075,1000
22990538,33
105842,20000
11329199,120
3256172,1000
1356364,15721
22532474,385
20383641,595
121231,81000
309677,677
26163634,5000
101068,20000
6352364,10000
14126721,1122
26253520,5000
22692721,2550
161430,50000
20709513,28314
795627,604
7077024,640
17071570,8293
22813212,7800
3243618,50000
4860287,8700
22219995,10000
24058399,408
26695417,1136
16829739,3900
2334953,20515
2038927,1569
2020644,50000
7624627,10000
10493777,256
3762437,6758
2454520,1078
2464750,20000
734672,451
21587069,83
113641,3949
4209513,19178
22498703,10000
26257160,7500
21272503,346
22227520,23207
21466431,4200
3658670,18614
23524423,170
453811,20000
28010614,2500
12072595,31102
5729845,20000
22621131,1280
1837427,42
26268881,8000
1879275,40000
22519673,32
20377992,10000
5680191,762
21885178,498
26343640,3408
20176003,2161
22649427,93
20425056,1437
127897,41000
13933965,3994
23965373,12000
4768992,27618
2553535,12711
6197087,2138
16334316,10000
20849010,11
2747582,10665
26066498,5000
3298819,16214
16498952,84
23909412,8000
3256933,20000
294444,18087
22119061,8000
2587922,346
22254891,344
22650829,2987
10989916,15256
108152,15000
20428252,2500
23436929,180
21756234,103
738997,28328
2451617,8827
22518203,72
763312,11023
26239833,217
2532861,7500
22981253,952
132480,12264
114565,40000
26368803,4000
5321951,10000
648648,2481
23395087,247
105820,2657
2466615,20000
14311716,1950
13206040,5000
6145226,30000
22518327,4866
5632701,1647
3032050,60000
123112,20000
22411594,2952
2381152,520
15066146,1220
2029026,20000
4271518,8777
18151382,1000
164244,20000
102168,20000
104313,39957
23964439,527
25183022,5000
12279681,20000
1944140,10
2460942,786
22293987,1247
1062828,38312
22459228,5000
12986708,773
28755291,55
1251641,7800
23154160,388
7774618,5000
23055260,2049
11845535,437
1126771,54843
16751596,3238
11167844,10000
22533550,401
26246634,5000
5141127,5796
23907035,3900
2393462,40000
22522640,1004
2105840,5925
18778313,70000
2464958,15000
18522656,2023
16830615,63
3909564,20000
22460201,1937
17731808,75
22447425,653
23912222,4000
2959435,28523
2452045,71000
6213033,30000
11790256,8000
21846261,1868
24618054,40000
23889695,1127
24021139,707
20243592,7000
4786901,620
6142960,2500
5346729,9
18905496,242
23062580,122
986696,5000
20151850,871
2940227,10000
6486019,1987
22457203,123
2578989,12134
104324,1000
715089,20000
823163,14707
23256505,2660
