organization_name,category,subtype,affiliation_type
disney,ANNUAL,INCRE,N10MA
disney,ANNUAL,INCRE,N10MB
disney,ANNUAL,INCRE,N10MC
disney,ANNUAL,INCRE,N10MD
disney,ANNUAL,INCRES,N10NA
disney,ANNUAL,INCRES,N10NB
disney,ANNUAL,INCRES,N10NC
disney,ANNUAL,INCRES,N10ND
disney,ANNUAL,INCREP,N10OA
disney,ANNUAL,INCREP,N10OB
disney,ANNUAL,INCREP,N10OC
disney,ANNUAL,INCREP,N10OD
disney,ANNUAL,INCRESP,N10PA
disney,ANNUAL,INCRESP,N10PB
disney,ANNUAL,INCRESP,N10PC
disney,ANNUAL,INCRESP,N10PD
disney,ANNUAL,FL_INCRE,N1FMA
disney,ANNUAL,FL_INCRE,N1FMB
disney,ANNUAL,FL_INCRE,N1FMC
disney,ANNUAL,FL_INCRE,N1FMD
disney,ANNUAL,FL_INCRES,N1FNA
disney,ANNUAL,FL_INCRES,N1FNB
disney,ANNUAL,FL_INCRES,N1FNC
disney,ANNUAL,FL_INCRES,N1FND
disney,ANNUAL,FL_INCREP,N1FOA
disney,ANNUAL,FL_INCREP,N1FOB
disney,ANNUAL,FL_INCREP,N1FOC
disney,ANNUAL,FL_INCREP,N1FOD
disney,ANNUAL,FL_INCRESP,N1FPA
disney,ANNUAL,FL_INCRESP,N1FPB
disney,ANNUAL,FL_INCRESP,N1FPC
disney,ANNUAL,FL_INCRESP,N1FPD
disney,ANNUAL,SORCE,N2FMA
disney,ANNUAL,SORCE,N2FMB
disney,ANNUAL,SORCE,N2FMC
disney,ANNUAL,SORCE,N2FMD
disney,ANNUAL,SORCES,N2FNA
disney,ANNUAL,SORCES,N2FNB
disney,ANNUAL,SORCES,N2FNC
disney,ANNUAL,SORCES,N2FND
disney,ANNUAL,SORCEP,N2FOA
disney,ANNUAL,SORCEP,N2FOB
disney,ANNUAL,SORCEP,N2FOC
disney,ANNUAL,SORCEP,N2FOD
disney,ANNUAL,SORCESP,N2FPA
disney,ANNUAL,SORCESP,N2FPB
disney,ANNUAL,SORCESP,N2FPC
disney,ANNUAL,SORCESP,N2FPD
disney,ANNUAL,SORCDVC,N2VMA
disney,ANNUAL,SORCDVC,N2VMB
disney,ANNUAL,SORCDVC,N2VMC
disney,ANNUAL,SORCDVC,N2VMD
disney,ANNUAL,SORCSDVC,N2VNA
disney,ANNUAL,SORCSDVC,N2VNB
disney,ANNUAL,SORCSDVC,N2VNC
disney,ANNUAL,SORCSDVC,N2VND
disney,ANNUAL,SORCPDVC,N2VOA
disney,ANNUAL,SORCPDVC,N2VOB
disney,ANNUAL,SORCPDVC,N2VOC
disney,ANNUAL,SORCPDVC,N2VOD
disney,ANNUAL,SORCSPDVC,N2VPA
disney,ANNUAL,SORCSPDVC,N2VPB
disney,ANNUAL,SORCSPDVC,N2VPC
disney,ANNUAL,SORCSPDVC,N2VPD
disney,ANNUAL,PIRAT,N3FMA
disney,ANNUAL,PIRAT,N3FMB
disney,ANNUAL,PIRAT,N3FMC
disney,ANNUAL,PIRAT,N3FMD
disney,ANNUAL,PIRATS,N3FNA
disney,ANNUAL,PIRATS,N3FNB
disney,ANNUAL,PIRATS,N3FNC
disney,ANNUAL,PIRATS,N3FND
disney,ANNUAL,PIRATP,N3FOA
disney,ANNUAL,PIRATP,N3FOB
disney,ANNUAL,PIRATP,N3FOC
disney,ANNUAL,PIRATP,N3FOD
disney,ANNUAL,PIRATSP,N3FPA
disney,ANNUAL,PIRATSP,N3FPB
disney,ANNUAL,PIRATSP,N3FPC
disney,ANNUAL,PIRATSP,N3FPD
disney,ANNUAL,PIXID,N4FMA
disney,ANNUAL,PIXID,N4FMB
disney,ANNUAL,PIXID,N4FMC
disney,ANNUAL,PIXID,N4FMD
disney,ANNUAL,PIXIDS,N4FNA
disney,ANNUAL,PIXIDS,N4FNB
disney,ANNUAL,PIXIDS,N4FNC
disney,ANNUAL,PIXIDS,N4FND
disney,ANNUAL,PIXIDP,N4FOA
disney,ANNUAL,PIXIDP,N4FOB
disney,ANNUAL,PIXIDP,N4FOC
disney,ANNUAL,PIXIDP,N4FOD
disney,ANNUAL,PIXIDSP,N4FPA
disney,ANNUAL,PIXIDSP,N4FPB
disney,ANNUAL,PIXIDSP,N4FPC
disney,ANNUAL,PIXIDSP,N4FPD
disney,ANNUAL,INCRE,N10IA
disney,ANNUAL,INCRE,N10IB
disney,ANNUAL,INCRE,N10IC
disney,ANNUAL,INCRE,N10ID
disney,ANNUAL,INCRES,N10JA
disney,ANNUAL,INCRES,N10JB
disney,ANNUAL,INCRES,N10JC
disney,ANNUAL,INCRES,N10JD
disney,ANNUAL,INCREP,N10KA
disney,ANNUAL,INCREP,N10KB
disney,ANNUAL,INCREP,N10KC
disney,ANNUAL,INCREP,N10KD
disney,ANNUAL,INCRESP,N10LA
disney,ANNUAL,INCRESP,N10LB
disney,ANNUAL,INCRESP,N10LC
disney,ANNUAL,INCRESP,N10LD
disney,ANNUAL,FL_INCRE,N1FIA
disney,ANNUAL,FL_INCRE,N1FIB
disney,ANNUAL,FL_INCRE,N1FIC
disney,ANNUAL,FL_INCRE,N1FID
disney,ANNUAL,FL_INCRES,N1FJA
disney,ANNUAL,FL_INCRES,N1FJB
disney,ANNUAL,FL_INCRES,N1FJC
disney,ANNUAL,FL_INCRES,N1FJD
disney,ANNUAL,FL_INCREP,N1FKA
disney,ANNUAL,FL_INCREP,N1FKB
disney,ANNUAL,FL_INCREP,N1FKC
disney,ANNUAL,FL_INCREP,N1FKD
disney,ANNUAL,FL_INCRESP,N1FLA
disney,ANNUAL,FL_INCRESP,N1FLB
disney,ANNUAL,FL_INCRESP,N1FLC
disney,ANNUAL,FL_INCRESP,N1FLD
disney,ANNUAL,SORCE,N2FIA
disney,ANNUAL,SORCE,N2FIB
disney,ANNUAL,SORCE,N2FIC
disney,ANNUAL,SORCE,N2FID
disney,ANNUAL,SORCES,N2FJA
disney,ANNUAL,SORCES,N2FJB
disney,ANNUAL,SORCES,N2FJC
disney,ANNUAL,SORCES,N2FJD
disney,ANNUAL,SORCEP,N2FKA
disney,ANNUAL,SORCEP,N2FKB
disney,ANNUAL,SORCEP,N2FKC
disney,ANNUAL,SORCEP,N2FKD
disney,ANNUAL,SORCESP,N2FLA
disney,ANNUAL,SORCESP,N2FLB
disney,ANNUAL,SORCESP,N2FLC
disney,ANNUAL,SORCESP,N2FLD
disney,ANNUAL,SORCDVC,N2VIA
disney,ANNUAL,SORCDVC,N2VIB
disney,ANNUAL,SORCDVC,N2VIC
disney,ANNUAL,SORCDVC,N2VID
disney,ANNUAL,SORCSDVC,N2VJA
disney,ANNUAL,SORCSDVC,N2VJB
disney,ANNUAL,SORCSDVC,N2VJC
disney,ANNUAL,SORCSDVC,N2VJD
disney,ANNUAL,SORCPDVC,N2VKA
disney,ANNUAL,SORCPDVC,N2VKB
disney,ANNUAL,SORCPDVC,N2VKC
disney,ANNUAL,SORCPDVC,N2VKD
disney,ANNUAL,SORCSPDVC,N2VLA
disney,ANNUAL,SORCSPDVC,N2VLB
disney,ANNUAL,SORCSPDVC,N2VLC
disney,ANNUAL,SORCSPDVC,N2VLD
disney,ANNUAL,PIRAT,N3FIA
disney,ANNUAL,PIRAT,N3FIB
disney,ANNUAL,PIRAT,N3FIC
disney,ANNUAL,PIRAT,N3FID
disney,ANNUAL,PIRATS,N3FJA
disney,ANNUAL,PIRATS,N3FJB
disney,ANNUAL,PIRATS,N3FJC
disney,ANNUAL,PIRATS,N3FJD
disney,ANNUAL,PIRATP,N3FKA
disney,ANNUAL,PIRATP,N3FKB
disney,ANNUAL,PIRATP,N3FKC
disney,ANNUAL,PIRATP,N3FKD
disney,ANNUAL,PIRATSP,N3FLA
disney,ANNUAL,PIRATSP,N3FLB
disney,ANNUAL,PIRATSP,N3FLC
disney,ANNUAL,PIRATSP,N3FLD
disney,ANNUAL,PIXID,N4FIA
disney,ANNUAL,PIXID,N4FIB
disney,ANNUAL,PIXID,N4FIC
disney,ANNUAL,PIXID,N4FID
disney,ANNUAL,PIXIDS,N4FJA
disney,ANNUAL,PIXIDS,N4FJB
disney,ANNUAL,PIXIDS,N4FJC
disney,ANNUAL,PIXIDS,N4FJD
disney,ANNUAL,PIXIDP,N4FKA
disney,ANNUAL,PIXIDP,N4FKB
disney,ANNUAL,PIXIDP,N4FKC
disney,ANNUAL,PIXIDP,N4FKD
disney,ANNUAL,PIXIDSP,N4FLA
disney,ANNUAL,PIXIDSP,N4FLB
disney,ANNUAL,PIXIDSP,N4FLC
disney,ANNUAL,PIXIDSP,N4FLD
disney,ANNUAL,INCRE,N10QA
disney,ANNUAL,INCRE,N10QB
disney,ANNUAL,INCRES,N10RA
disney,ANNUAL,INCRES,N10RB
disney,ANNUAL,INCREP,N10SA
disney,ANNUAL,INCREP,N10SB
disney,ANNUAL,INCRESP,N10TA
disney,ANNUAL,INCRESP,N10TB
disney,ANNUAL,FL_INCRE,N1FQA
disney,ANNUAL,FL_INCRE,N1FQB
disney,ANNUAL,FL_INCRES,N1FRA
disney,ANNUAL,FL_INCRES,N1FRB
disney,ANNUAL,FL_INCREP,N1FSA
disney,ANNUAL,FL_INCREP,N1FSB
