account,type,name,ecosystem,env,region,organization,configured_version,stack_name,stack_status,update_behavior,version
vnon,datanow,samissions,lyra,prd,us-east-1,samissions,,vn-spa-instance-datanow-samissions,up,,v1.1.0
vnon,datanow,fedexfieldsuites,levy,prd,us-east-1,wash,,vn-spa-instance-datanow-fedexfieldsuites,up,,
vnon,ondevices,marlinsparksuites,levy,prd,us-east-1,mrln,,vn-spa-instance-ondevices-marlinsparksuites,up,,v1.9.0
vnon,datanow,austinfctasting,crux,prd,us-east-1,austinfc,,vn-spa-instance-datanow-austinfctasting,up,,v1.1.0
vnon,onboard,bankerslifesuites,levy,prd,us-east-1,indy,,vn-spa-instance-onboard-bankerslifesuites,up,,v1.0.2
vnon,onrunner,labahnarena,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-onrunner-labahnarena,up,,v0.1.1
vnon,onpos,mcclimonfs,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-onpos-mcclimonfs,up,,
vnon,onstatus,razorbbsuites,levy,prd,us-east-1,razbb,,vn-spa-instance-onstatus-razorbbsuites,up,,v1.3.1
vnops,oz,oznext,mars,dev,us-east-1,venuenext,,vn-spa-instance-oz-oznext-dev,up,,v0.3.4-9d7faee3d0
vnon,ondevices,niners,levis,prd,us-east-1,niners,,vn-spa-instance-ondevices-niners,up,,v1.9.0
vnon,onboard,mtc,crux,prd,us-east-1,samuelfriedman,,vn-spa-instance-onboard-mtc,up,,v1.0.2
vnon,onpos,staplescenterfs,ara,prd,us-east-1,staplescenter,,vn-spa-instance-onpos-staplescenterfs,up,,
vnon,onboard,marlins,crux,prd,us-east-1,marlins,,vn-spa-instance-onboard-marlins,up,,v1.0.2
vnon,onboard,commanders,crux,prd,us-east-1,commanders,,vn-spa-instance-onboard-commanders,up,,v1.0.2
vnon,onpos,usopenmobile,crux,prd,us-east-1,usopenmobile,,vn-spa-instance-onpos-usopenmobile,up,,v2.25.11-qs
vnon,onstatus,delldiamondparking,lyra,prd,us-east-1,roundrock,,vn-spa-instance-onstatus-delldiamondparking,up,,v2.3.0
vnon,oncanopy,bswasuites,levy,prd,us-east-1,bswa,,vn-spa-instance-oncanopy-bswasuites,up,,v0.1.0
vnon,onmenumanager,tdameritradesuites,levy,prd,us-east-1,omab,,vn-spa-instance-onmenumanager-tdameritradesuites,up,,v2.22.8
vnon,ordering,erwincenter,crux,prd,us-east-1,universityoftexas,,vn-spa-instance-ordering-erwincenter,up,,v1.45.0
vnon,ordering,monsterjam,use1a,production,us-east-1,monsterjam,,vn-spa-instance-ordering-monsterjam,up,,v0.7.4
vnon,onpos,bluebellpark,ara,prd,us-east-1,texasam,,vn-spa-instance-onpos-bluebellpark,up,,v2.25.11-qs
vnon,onrunner,sportingkc,lyra,prd,us-east-1,sportingkc,,vn-spa-instance-onrunner-sportingkc,up,,v0.1.1
vnon,onboard,selleodev,mars,dev,us-east-1,selleodev,,vn-spa-instance-onboard-selleodev-dev,up,,
vnon,onstatus,stlblues,lyra,prd,us-east-1,enterprisecenter,,vn-spa-instance-onstatus-stlblues,up,,v2.3.0
vnon,ordering,orlandomagicpremium,crux,prd,us-east-1,magic,,vn-spa-instance-ordering-orlandomagicpremium,up,,v1.45.0
vnon,onpos,wsu,ara,prd,us-east-1,wsu,,vn-spa-instance-onpos-wsu,up,,v2.25.11-qs
vnon,onstatus,chukars,ara,prd,us-east-1,chukars,,vn-spa-instance-onstatus-chukars,up,,v2.3.0
vnon,ondevices,mappedin,lyra,prd,us-east-1,mappedin,,vn-spa-instance-ondevices-mappedin,up,,v1.9.0
vnon,onpos,sixflagsge,sixflags,prd,us-east-1,sixflags,,vn-spa-instance-onpos-sixflagsge,up,,v2.19.19-qs
vnon,onrefund,byuconcessionsmp,ara,prd,us-east-1,byu,,vn-spa-instance-onrefund-byuconcessionsmp,up,,v2.5.0
vnon,onboard,houstontexans,lyra,prd,us-east-1,houstontexans,,vn-spa-instance-onboard-houstontexans,up,,v1.0.2
vnon,ondevices,byuconcessionsmp,ara,prd,us-east-1,byu,,vn-spa-instance-ondevices-byuconcessionsmp,up,,v1.9.0
vnon,onpos,jazz,ara,prd,us-east-1,utahjazz,,vn-spa-instance-onpos-jazz,up,,v2.25.11-qs
vnon,onloyalty,austinfc,crux,prd,us-east-1,austinfc,,vn-spa-instance-onloyalty-austinfc,up,,v1.9.0
vnon,datanow,bmssuites,levy,prd,us-east-1,bms,,vn-spa-instance-datanow-bmssuites,up,,
