Ecosystem,configuration_models/name,configuration_models/service_type,configuration_models/uuid
ARA,[POS QS] Belly-Up,POS,4c4538b7-5c7e-416d-bbd7-c62d202e6c88
ARA,[POS QS] Order-Pay-Fulfill,POS,9ada176d-4e1a-4252-9dfe-ab3b7c097041
ARA,[POS FS] Wait Staff,POS,38e8cec2-524f-4a85-b000-8e63dd9c4ecb
ARA,[Kiosk] Belly-Up,Kiosk,4974d181-e6e0-46e0-9965-1d1eaa42ec5c
ARA,[Kiosk] Order-Pay-Fulfill,Kiosk,c438590a-016a-4423-bda8-fbbeac8ac6b3
ARA,[Mobile] Pickup,Concessions,f489c6ab-cefd-4967-9983-8d658b3cdb39
ARA,[Mobile] Delivery,Delivery,2024e439-8937-4ff2-8690-39b80bac9f44
ARA,[Mobile] Self Checkout,SelfCheckout,718b00b3-a74f-4f87-b691-96b709aa7119
ARA,[Mobile] QuickPay,QuickPay,232c807a-bd1a-4f90-b2af-49fa3a6b06b5
ARA,[Mobile] Pre-Order Pickup,Concessions,345691b6-f9eb-43ce-9d51-239f7656eaea
ARA,[Mobile] Pre-Order Delivery,Delivery,d39bce8c-605b-403b-9b78-dfccb906f4a6
ARA,[Autonomous] Amazon Just Walk Out,Concessions,77d2341d-8f84-4ae3-b2d8-6c8677722170
ARA,[Autonomous] Zippin,Concessions,c2847011-12d8-4d1c-8144-6edf31c4f566
LYRA,[POS QS] Belly-Up,POS,3b6fb0cb-e733-42ee-b1c0-cf40c8fe34a2
LYRA,[POS QS] Order-Pay-Fulfill,POS,9bc93d03-c04f-401f-b788-6c13801ec987
LYRA,[POS FS] Wait Staff,POS,51225adc-49f0-4fc6-b603-101ddbe7d6e1
LYRA,[Kiosk] Belly-Up,Kiosk,8c00ceac-53d7-4609-8de1-f2c9b725adb5
LYRA,[Kiosk] Order-Pay-Fulfill,Kiosk,bf5770b4-4418-4779-9a61-327b1ae37e8c
LYRA,[Mobile] Pickup,Concessions,ee8f17d7-53ab-4cf2-8a52-aac975af143a
LYRA,[Mobile] Delivery,Delivery,0619db8e-e5c7-4f57-8280-6d0bbe8ca100
LYRA,[Mobile] Self Checkout,SelfCheckout,a9c264d8-3d6e-4677-ad6f-76a3b41421a4
LYRA,[Mobile] QuickPay,QuickPay,0e85f952-6a61-463c-9203-44344b883fb1
LYRA,[Mobile] Pre-Order Pickup,Concessions,d2fd60c1-e013-4c26-82f5-2317bd4c0c33
LYRA,[Mobile] Pre-Order Delivery,Delivery,04f3a3f6-e50b-4667-a62f-182b1ebe6c17
LYRA,[Autonomous] Amazon Just Walk Out,Concessions,339f3f11-0513-4c65-b699-4cc6e0f5295b
