Ecosystem,configuration_models_name,configuration_models_service_type,configuration_models_uuid
ARA,pos_belly_up,POS,4c4538b7-5c7e-416d-bbd7-c62d202e6c88
ARA,pos_order_pay_fulfill,POS,9ada176d-4e1a-4252-9dfe-ab3b7c097041
ARA,pos_wait_staff,POS,38e8cec2-524f-4a85-b000-8e63dd9c4ecb
ARA,kiosk_belly_up,Kiosk,4974d181-e6e0-46e0-9965-1d1eaa42ec5c
ARA,kiosk_order_pay_fulfill,Kiosk,c438590a-016a-4423-bda8-fbbeac8ac6b3
ARA,mobile_pickup,Concessions,f489c6ab-cefd-4967-9983-8d658b3cdb39
ARA,mobile_delivery,Delivery,2024e439-8937-4ff2-8690-39b80bac9f44
ARA,mobile_selfcheckout,SelfCheckout,718b00b3-a74f-4f87-b691-96b709aa7119
ARA,mobile_quickpay,QuickPay,232c807a-bd1a-4f90-b2af-49fa3a6b06b5
ARA,mobile_preorder_pickup,Concessions,345691b6-f9eb-43ce-9d51-239f7656eaea
ARA,mobile_preorder_delivery,Delivery,d39bce8c-605b-403b-9b78-dfccb906f4a6
ARA,autonomous_jwo,Concessions,77d2341d-8f84-4ae3-b2d8-6c8677722170
ARA,autonomous_zippin,Concessions,c2847011-12d8-4d1c-8144-6edf31c4f566
LYRA,pos_belly_up,POS,3b6fb0cb-e733-42ee-b1c0-cf40c8fe34a2
LYRA,pos_order_pay_fulfill,POS,9bc93d03-c04f-401f-b788-6c13801ec987
LYRA,pos_wait_staff,POS,51225adc-49f0-4fc6-b603-101ddbe7d6e1
LYRA,kiosk_belly_up,Kiosk,8c00ceac-53d7-4609-8de1-f2c9b725adb5
LYRA,kiosk_order_pay_fulfill,Kiosk,bf5770b4-4418-4779-9a61-327b1ae37e8c
LYRA,mobile_pickup,Concessions,ee8f17d7-53ab-4cf2-8a52-aac975af143a
LYRA,mobile_delivery,Delivery,0619db8e-e5c7-4f57-8280-6d0bbe8ca100
LYRA,mobile_selfcheckout,SelfCheckout,a9c264d8-3d6e-4677-ad6f-76a3b41421a4
LYRA,mobile_quickpay,QuickPay,0e85f952-6a61-463c-9203-44344b883fb1
LYRA,mobile_preorder_pickup,Concessions,d2fd60c1-e013-4c26-82f5-2317bd4c0c33
LYRA,mobile_preorder_delivery,Delivery,04f3a3f6-e50b-4667-a62f-182b1ebe6c17
LYRA,autonomous_jwo,Concessions,339f3f11-0513-4c65-b699-4cc6e0f5295b
LYRA,autonomous_zippin,Concessions,e8325e50-618e-49c8-b5b0-d42c3ab3bdda
CRUX,pos_belly_up,POS,0efbe94e-4109-4f0c-a007-0d60e25edb6b
CRUX,pos_order_pay_fulfill,POS,69d517b2-21cb-4d05-b490-94474fe8f443
CRUX,pos_wait_staff,POS,ad162672-5d14-4a0d-8a2f-49c015b23905
CRUX,kiosk_belly_up,Kiosk,d8f06b27-7c08-47e3-9a75-79208eb123d1
CRUX,kiosk_order_pay_fulfill,Kiosk,73033d08-6087-48b0-911d-d1e224e8dbe6
CRUX,mobile_pickup,Concessions,ea6dd4ae-f7f8-4e73-8c59-2308c3a7d9ec
CRUX,mobile_delivery,Delivery,60380847-e5f5-4c74-b38c-723551927e88
CRUX,mobile_selfcheckout,SelfCheckout,8250099a-6647-48f3-ae03-c8500dc3ef6b
CRUX,mobile_quickpay,QuickPay,5ce24168-9c8c-48ec-a3c5-97e7a9332bdd
CRUX,mobile_preorder_pickup,Concessions,b28f4f75-5a51-4377-a37c-9fdd84cf8abc
CRUX,mobile_preorder_delivery,Delivery,58085dda-92fb-4fb7-96b6-4093197f523d
CRUX,autonomous_jwo,Concessions,01dc81cc-b003-4b81-b485-e0b4bae7e3ad
CRUX,autonomous_zippin,Concessions,ad52b3c1-fde4-4d77-a5a5-229839de9002
LEVIS,pos_belly_up,POS,d19f8fc6-0b7f-464d-a63f-d687ab4e5a34
LEVIS,pos_order_pay_fulfill,POS,82efba3a-6c43-4bba-9705-bb30f1939270
LEVIS,pos_wait_staff,POS,3e4b36a4-2399-4065-b9c1-c601f336cae2
LEVIS,kiosk_belly_up,Kiosk,acad3039-4e7f-4c24-9b9f-42283a9049e5
LEVIS,kiosk_order_pay_fulfill,Kiosk,eeb5ad0e-4bd8-4b2e-9564-62f2ac40a035
LEVIS,mobile_pickup,Concessions,7400aced-db9e-4c28-b64a-49f84a0dd290
LEVIS,mobile_delivery,Delivery,252be85b-d1ad-472d-b5bd-db5f59541986
LEVIS,mobile_selfcheckout,SelfCheckout,03416f10-3810-4171-ad15-3fa81e0c2ac2
LEVIS,mobile_quickpay,QuickPay,55bef025-1bcf-48cd-b862-209be30f5ce6
LEVIS,mobile_preorder_pickup,Concessions,321ddfe0-57fe-4cbc-8768-f30f9500d452
LEVIS,mobile_preorder_delivery,Delivery,e3cb1539-ab18-4257-81d4-041810d9323d
LEVIS,autonomous_jwo,Concessions,583af1da-8e28-4814-9c04-d17cb2c5b966
LEVIS,autonomous_zippin,Concessions,3d15a615-abcc-4ea3-952e-8a47c8d1f11a
LN,pos_belly_up,POS,c6fb5067-a73c-4316-a7d0-e042740a084f
LN,pos_order_pay_fulfill,POS,38b81380-1f1b-432b-ba6e-5231850dc7a2
LN,pos_wait_staff,POS,45aee0f5-9d3a-4361-8275-4d0ff9eaefb1
LN,kiosk_belly_up,Kiosk,b6bdf0d8-3665-454a-af3d-61c571c1a7c2
LN,kiosk_order_pay_fulfill,Kiosk,a4be2cc4-9f1f-4412-aecb-583c2243cf7a
LN,mobile_pickup,Concessions,3420c857-ccbe-4913-912d-6013e32f52ee
LN,mobile_delivery,Delivery,287e3d37-12f5-45bc-82c8-406b55b65f9e
